NOC,Year,GDP_per_Capita
AUS,2004,633138917180.184
AUT,2004,276006414191.398
BLR,2004,82637196252.1868
BRA,2004,1922785831282.21
CAN,2004,1083609294356.44
CHN,2004,5738575724796.05
CZE,2004,213452584235.143
ESP,2004,1122166468853.19
FRA,2004,1822285317078.39
GBR,2004,1922940594923.09
HUN,2004,164436278997.343
ITA,2004,1704921939474.48
JAM,2004,19900797155.553
JPN,2004,3938955753801.61
KAZ,2004,186669097081.807
KEN,2004,71728946876.2984
KOR,2004,1143105567943.22
NOR,2004,195950288595.853
NZL,2004,102582703525.706
POL,2004,509887742740.0
RUS,2004,1473342751130.22
SWE,2004,304517121135.386
UKR,2004,319709877739.413
USA,2004,12217196000000.0
AUS,2005,666573991108.909
AUT,2005,288086851811.747
BLR,2005,93239704652.4523
BRA,2005,2046574552628.89
CAN,2005,1171326187910.13
CHN,2005,6592895776896.02
CZE,2005,225620777980.803
ESP,2005,1205129771230.45
FRA,2005,1926880446239.76
GBR,2005,1976697912294.61
HUN,2005,172572943492.797
ITA,2005,1746657911754.7
JAM,2005,20708227645.4025
JPN,2005,4110440479265.64
KAZ,2005,211196657904.66
KEN,2005,78347607389.6818
KOR,2005,1213618156671.84
NOR,2005,221764770681.486
NZL,2005,106147882736.156
POL,2005,530377303430.348
RUS,2005,1696729209914.69
SWE,2005,309212862460.073
UKR,2005,339861133729.562
USA,2005,13039197000000.0
AUS,2006,712648996565.745
AUT,2006,311412915828.518
BLR,2006,105726566332.646
BRA,2006,2193273153845.76
CAN,2006,1241594039979.59
CHN,2006,7660752769348.59
CZE,2006,244951001904.869
ESP,2006,1363886239439.57
FRA,2006,2065681747817.41
GBR,2006,2113503098384.48
HUN,2006,185148362034.903
ITA,2006,1886969023402.89
JAM,2006,21965707097.9245
JPN,2006,4300322202225.7
KAZ,2006,241004547149.368
KEN,2006,85991146839.4881
KOR,2006,1302227991055.99
NOR,2006,253397171103.576
NZL,2006,116097800672.812
POL,2006,577925860757.086
RUS,2006,2133189651004.95
SWE,2006,342606797242.787
UKR,2006,376867755286.779
USA,2006,13815583000000.0
AUS,2007,763412360149.174
AUT,2007,327170721478.926
BLR,2007,117929803087.637
BRA,2007,2389430239855.4
CAN,2007,1301593351698.17
CHN,2007,8988029531096.95
CZE,2007,270739146273.018
ESP,2007,1468825965115.45
FRA,2007,2184813801951.45
GBR,2007,2178376960471.15
HUN,2007,192051584445.279
ITA,2007,1995607744467.66
JAM,2007,22883875381.0124
JPN,2007,4482081297524.2
KAZ,2007,269564507809.408
KEN,2007,94371493368.0296
KOR,2007,1414985950534.54
NOR,2007,264566358944.122
NZL,2007,123983315954.119
