NOC,Gold,Silver,Bronze,Total,Year,Season
USA,36,39,26,101,2004,S
CHN,32,17,15,64,2004,S
RUS,28,26,36,90,2004,S
AUS,17,16,17,50,2004,S
JPN,16,9,12,37,2004,S
GER,13,16,20,49,2004,S
FRA,11,9,13,33,2004,S
ITA,10,11,11,32,2004,S
KOR,9,12,9,30,2004,S
GBR,9,9,12,30,2004,S
CUB,9,7,11,27,2004,S
HUN,8,6,3,17,2004,S
UKR,8,5,9,22,2004,S
BRA,5,2,3,10,2004,S
NOR,5,0,1,6,2004,S
NED,4,9,9,22,2004,S
SWE,4,2,1,7,2004,S
ESP,3,11,6,20,2004,S
CAN,3,6,3,12,2004,S
POL,3,2,5,10,2004,S
NZL,3,2,0,5,2004,S
BLR,2,5,7,14,2004,S
AUT,2,4,1,7,2004,S
DEN,2,1,5,8,2004,S
JAM,2,1,2,5,2004,S
KAZ,1,4,3,8,2004,S
KEN,1,4,2,7,2004,S
CZE,1,3,5,9,2004,S
SUI,1,1,3,5,2004,S
GER,11,12,6,29,2006,W
USA,9,9,7,25,2006,W
AUT,9,7,7,23,2006,W
RUS,8,6,8,22,2006,W
CAN,7,10,7,24,2006,W
SWE,7,2,5,14,2006,W
KOR,6,3,2,11,2006,W
SUI,5,4,5,14,2006,W
ITA,5,0,6,11,2006,W
FRA,3,2,4,9,2006,W
NED,3,2,4,9,2006,W
NOR,2,8,9,19,2006,W
CHN,2,4,5,11,2006,W
CZE,1,2,1,4,2006,W
AUS,1,0,1,2,2006,W
JPN,1,0,0,1,2006,W
POL,0,1,1,2,2006,W
BLR,0,1,0,1,2006,W
GBR,0,1,0,1,2006,W
UKR,0,0,2,2,2006,W
AUS,14,15,17,46,2008,S
AUT,0,1,2,3,2008,S
BLR,3,4,7,14,2008,S
BRA,3,4,10,17,2008,S
CAN,3,9,8,20,2008,S
CUB,3,10,17,30,2008,S
CZE,3,3,1,7,2008,S
DEN,2,2,3,7,2008,S
FRA,7,16,20,43,2008,S
GER,16,11,14,41,2008,S
GBR,19,13,19,51,2008,S
HUN,3,5,2,10,2008,S
ITA,8,9,10,27,2008,S
JAM,5,4,2,11,2008,S
