NOC,Year,Urbanization
AUS,2004,84.463
AUT,2004,59.094
BLR,2004,71.887
BRA,2004,82.521
CAN,2004,80.045
CHN,2004,41.144
CUB,2004,76.041
CZE,2004,73.671
ESP,2004,77.022
FRA,2004,76.883
GBR,2004,79.629
HUN,2004,65.896
ITA,2004,67.62
JAM,2004,52.625
JPN,2004,84.64
KAZ,2004,56.39
KEN,2004,21.31
KOR,2004,81.002
NOR,2004,77.399
NZL,2004,86.281
POL,2004,61.564
RUS,2004,73.418
SWE,2004,84.258
UKR,2004,67.597
USA,2004,79.757
AUS,2005,84.582
AUT,2005,58.813
BLR,2005,72.354
BRA,2005,82.834
CAN,2005,80.122
CHN,2005,42.522
CUB,2005,76.134
CZE,2005,73.602
ESP,2005,77.263
FRA,2005,77.13
GBR,2005,79.915
HUN,2005,66.365
ITA,2005,67.738
JAM,2005,52.811
JPN,2005,85.978
KAZ,2005,56.463
KEN,2005,21.675
KOR,2005,81.345
NOR,2005,77.675
NZL,2005,86.341
POL,2005,61.452
RUS,2005,73.463
SWE,2005,84.319
UKR,2005,67.79
USA,2005,79.928
AUS,2006,84.7
AUT,2006,58.532
BLR,2006,72.816
BRA,2006,83.143
CAN,2006,80.213
CHN,2006,43.868
CUB,2006,76.227
CZE,2006,73.533
ESP,2006,77.502
FRA,2006,77.377
GBR,2006,80.199
HUN,2006,66.895
ITA,2006,67.856
JAM,2006,52.998
JPN,2006,87.118
KAZ,2006,56.536
KEN,2006,22.045
KOR,2006,81.528
NOR,2006,77.95
NZL,2006,86.4
POL,2006,61.341
RUS,2006,73.508
SWE,2006,84.43
UKR,2006,67.969
USA,2006,80.099
AUS,2007,84.822
AUT,2007,58.249
BLR,2007,73.273
BRA,2007,83.448
CAN,2007,80.396
CHN,2007,45.199
CUB,2007,76.32
CZE,2007,73.463
ESP,2007,77.74
FRA,2007,77.621
GBR,2007,80.479
HUN,2007,67.421
ITA,2007,67.974
JAM,2007,53.184
JPN,2007,88.146
KAZ,2007,56.609
KEN,2007,22.42
KOR,2007,81.631
NOR,2007,78.234
NZL,2007,86.34
POL,2007,61.229
RUS,2007,73.553
SWE,2007,84.588
UKR,2007,68.147
USA,2007,80.269
AUS,2008,84.943
AUT,2008,57.966
BLR,2008,73.726
BRA,2008,83.749
CAN,2008,80.578
CHN,2008,46.539
CUB,2008,76.413
CZE,2008,73.394
ESP,2008,77.976
FRA,2008,77.868
GBR,2008,80.757
HUN,2008,67.943
ITA,2008,68.092
JAM,2008,53.371
JPN,2008,89.103
KAZ,2008,56.682
KEN,2008,22.8
KOR,2008,81.733
NOR,2008,78.526
NZL,2008,86.28
POL,2008,61.116
RUS,2008,73.598
SWE,2008,84.746
UKR,2008,68.325
USA,2008,80.438
AUS,2009,85.063
AUT,2009,57.683
BLR,2009,74.172
BRA,2009,84.044
CAN,2009,80.758
CHN,2009,47.88
CUB,2009,76.505
CZE,2009,73.324
ESP,2009,78.21
FRA,2009,78.117
GBR,2009,81.031
HUN,2009,68.46
ITA,2009,68.209
JAM,2009,53.557
JPN,2009,89.989
KAZ,2009,56.755
KEN,2009,23.183
KOR,2009,81.835
NOR,2009,78.815
NZL,2009,86.22
POL,2009,61.004
RUS,2009,73.642
SWE,2009,84.902
UKR,2009,68.502
USA,2009,80.606
AUS,2010,85.182
AUT,2010,57.399
BLR,2010,74.672
BRA,2010,84.335
CAN,2010,80.937
CHN,2010,49.226
CUB,2010,76.597
CZE,2010,73.255
ESP,2010,78.442
FRA,2010,78.369
GBR,2010,81.302
HUN,2010,68.911
ITA,2010,68.327
JAM,2010,53.743
JPN,2010,90.812
KAZ,2010,56.827
KEN,2010,23.571
KOR,2010,81.936
NOR,2010,79.102
NZL,2010,86.16
POL,2010,60.892
RUS,2010,73.687
SWE,2010,85.056
UKR,2010,68.596
USA,2010,80.772
AUS,2011,85.3
AUT,2011,57.115
BLR,2011,75.188
BRA,2011,84.631
CAN,2011,81.096
CHN,2011,50.511
CUB,2011,76.689
CZE,2011,73.185
ESP,2011,78.673
FRA,2011,78.622
GBR,2011,81.57
HUN,2011,69.358
ITA,2011,68.444
JAM,2011,53.93
JPN,2011,91.069
KAZ,2011,56.9
KEN,2011,23.969
KOR,2011,81.923
NOR,2011,79.455
NZL,2011,86.1
POL,2011,60.78
RUS,2011,73.732
SWE,2011,85.297
UKR,2011,68.689
USA,2011,80.944
AUS,2012,85.402
AUT,2012,57.147
BLR,2012,75.697
BRA,2012,84.923
CAN,2012,81.137
CHN,2012,51.765
CUB,2012,76.781
CZE,2012,73.197
ESP,2012,78.902
FRA,2012,78.878
GBR,2012,81.837
HUN,2012,69.678
ITA,2012,68.684
JAM,2012,54.132
JPN,2012,91.148
KAZ,2012,56.973
KEN,2012,24.376
KOR,2012,81.851
NOR,2012,79.874
NZL,2012,86.161
POL,2012,60.654
RUS,2012,73.791
SWE,2012,85.62
UKR,2012,68.782
USA,2012,81.119
AUS,2013,85.502
AUT,2013,57.336
BLR,2013,76.199
BRA,2013,85.209
CAN,2013,81.178
CHN,2013,53.013
CUB,2013,76.827
CZE,2013,73.29
ESP,2013,79.133
FRA,2013,79.135
GBR,2013,82.102
HUN,2013,69.953
ITA,2013,68.979
JAM,2013,54.35
JPN,2013,91.226
KAZ,2013,57.046
KEN,2013,24.794
KOR,2013,81.779
NOR,2013,80.286
NZL,2013,86.221
POL,2013,60.529
RUS,2013,73.863
SWE,2013,85.936
UKR,2013,68.875
USA,2013,81.299
AUS,2014,85.602
AUT,2014,57.526
BLR,2014,76.693
BRA,2014,85.492
CAN,2014,81.218
CHN,2014,54.259
CUB,2014,76.861
CZE,2014,73.384
ESP,2014,79.366
FRA,2014,79.394
GBR,2014,82.365
HUN,2014,70.227
ITA,2014,69.272
JAM,2014,54.584
JPN,2014,91.304
KAZ,2014,57.118
KEN,2014,25.221
KOR,2014,81.707
NOR,2014,80.692
NZL,2014,86.281
POL,2014,60.403
RUS,2014,73.95
SWE,2014,86.247
UKR,2014,68.968
USA,2014,81.483
AUS,2015,85.701
AUT,2015,57.715
BLR,2015,77.181
BRA,2015,85.77
CAN,2015,81.259
CHN,2015,55.5
CUB,2015,76.896
CZE,2015,73.477
ESP,2015,79.602
FRA,2015,79.655
GBR,2015,82.626
HUN,2015,70.5
ITA,2015,69.565
JAM,2015,54.833
JPN,2015,91.381
KAZ,2015,57.191
KEN,2015,25.658
KOR,2015,81.634
NOR,2015,81.091
NZL,2015,86.341
POL,2015,60.278
RUS,2015,74.05
SWE,2015,86.553
UKR,2015,69.061
USA,2015,81.671
AUS,2016,85.8
AUT,2016,57.905
BLR,2016,77.661
BRA,2016,86.042
CAN,2016,81.3
CHN,2016,56.736
CUB,2016,76.93
CZE,2016,73.57
ESP,2016,79.84
FRA,2016,79.917
GBR,2016,82.886
HUN,2016,70.779
ITA,2016,69.855
JAM,2016,55.098
JPN,2016,91.457
KAZ,2016,57.264
KEN,2016,26.105
KOR,2016,81.562
NOR,2016,81.485
NZL,2016,86.4
POL,2016,60.178
RUS,2016,74.164
SWE,2016,86.852
UKR,2016,69.154
USA,2016,81.862
AUS,2017,85.904
AUT,2017,58.094
BLR,2017,78.134
BRA,2017,86.309
CAN,2017,81.35
CHN,2017,57.96
CUB,2017,76.977
CZE,2017,73.675
ESP,2017,80.08
FRA,2017,80.18
GBR,2017,83.143
HUN,2017,71.062
ITA,2017,70.144
JAM,2017,55.378
JPN,2017,91.535
KAZ,2017,57.336
KEN,2017,26.562
KOR,2017,81.503
NOR,2017,81.871
NZL,2017,86.466
POL,2017,60.105
RUS,2017,74.292
SWE,2017,87.146
UKR,2017,69.246
USA,2017,82.058
AUS,2018,86.012
AUT,2018,58.297
BLR,2018,78.595
BRA,2018,86.569
CAN,2018,81.411
CHN,2018,59.152
CUB,2018,77.037
CZE,2018,73.792
ESP,2018,80.321
FRA,2018,80.444
GBR,2018,83.398
HUN,2018,71.351
ITA,2018,70.438
JAM,2018,55.674
JPN,2018,91.616
KAZ,2018,57.428
KEN,2018,27.03
KOR,2018,81.459
NOR,2018,82.248
NZL,2018,86.538
POL,2018,60.058
RUS,2018,74.433
SWE,2018,87.431
UKR,2018,69.352
USA,2018,82.256
AUS,2019,86.124
AUT,2019,58.515
BLR,2019,79.044
BRA,2019,86.824
CAN,2019,81.482
CHN,2019,60.308
CUB,2019,77.109
CZE,2019,73.921
ESP,2019,80.565
FRA,2019,80.709
GBR,2019,83.652
HUN,2019,71.644
ITA,2019,70.736
JAM,2019,55.985
JPN,2019,91.698
KAZ,2019,57.54
KEN,2019,27.507
KOR,2019,81.43
NOR,2019,82.616
NZL,2019,86.615
POL,2019,60.037
RUS,2019,74.587
SWE,2019,87.708
UKR,2019,69.473
USA,2019,82.459
AUS,2020,86.241
AUT,2020,58.748
BLR,2020,79.483
BRA,2020,87.073
CAN,2020,81.562
CHN,2020,61.428
CUB,2020,77.194
CZE,2020,74.061
ESP,2020,80.81
FRA,2020,80.975
GBR,2020,83.903
HUN,2020,71.942
ITA,2020,71.039
JAM,2020,56.311
JPN,2020,91.782
KAZ,2020,57.671
KEN,2020,27.995
KOR,2020,81.414
NOR,2020,82.974
NZL,2020,86.699
POL,2020,60.043
RUS,2020,74.754
SWE,2020,87.977
UKR,2020,69.608
USA,2020,82.664
AUS,2021,86.362
AUT,2021,58.995
BLR,2021,79.91
BRA,2021,87.317
CAN,2021,81.653
CHN,2021,62.512
CUB,2021,77.292
CZE,2021,74.214
ESP,2021,81.056
FRA,2021,81.242
GBR,2021,84.152
HUN,2021,72.245
ITA,2021,71.346
JAM,2021,56.652
JPN,2021,91.867
KAZ,2021,57.821
KEN,2021,28.493
KOR,2021,81.414
NOR,2021,83.323
NZL,2021,86.789
POL,2021,60.075
RUS,2021,74.934
SWE,2021,88.238
UKR,2021,69.757
USA,2021,82.873
AUS,2022,86.488
AUT,2022,59.256
BLR,2022,80.326
BRA,2022,87.555
CAN,2022,81.752
CHN,2022,63.56
CUB,2022,77.401
CZE,2022,74.377
ESP,2022,81.304
FRA,2022,81.509
GBR,2022,84.398
HUN,2022,72.552
ITA,2022,71.657
JAM,2022,57.008
JPN,2022,91.955
KAZ,2022,57.99
KEN,2022,29.002
KOR,2022,81.427
NOR,2022,83.664
NZL,2022,86.884
POL,2022,60.134
RUS,2022,75.126
SWE,2022,88.492
UKR,2022,69.919
USA,2022,83.084
